[ 2014-12-11T00:01:55+08:00 ] /thinkphpTest/admin.php | INFO: Tag[ app_begin ] --START--
[ 2014-12-11T00:01:55+08:00 ] /thinkphpTest/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003637s ]
[ 2014-12-11T00:01:55+08:00 ] /thinkphpTest/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003859s ]
[ 2014-12-11T00:01:55+08:00 ] /thinkphpTest/admin.php | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.005618s ]
[ 2014-12-11T00:01:55+08:00 ] /thinkphpTest/admin.php | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` LIMIT 1   [ RunTime:0.012549s ]
[ 2014-12-11T00:01:55+08:00 ] /thinkphpTest/admin.php | SQL: SELECT * FROM `think_article`  [ RunTime:0.000434s ]
[ 2014-12-11T00:01:55+08:00 ] /thinkphpTest/admin.php | INFO: Tag[ view_template ] --START--
[ 2014-12-11T00:01:55+08:00 ] /thinkphpTest/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.002981s ]
[ 2014-12-11T00:01:55+08:00 ] /thinkphpTest/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.003077s ]
[ 2014-12-11T00:01:55+08:00 ] /thinkphpTest/admin.php | INFO: Tag[ view_parse ] --START--
[ 2014-12-11T00:01:55+08:00 ] /thinkphpTest/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.283872s ]
[ 2014-12-11T00:01:55+08:00 ] /thinkphpTest/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.284043s ]
[ 2014-12-11T00:01:55+08:00 ] /thinkphpTest/admin.php | INFO: Tag[ view_filter ] --START--
[ 2014-12-11T00:01:55+08:00 ] /thinkphpTest/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.003230s ]
[ 2014-12-11T00:01:55+08:00 ] /thinkphpTest/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.003737s ]
[ 2014-12-11T00:01:55+08:00 ] /thinkphpTest/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002715s ]
