[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | INFO: Tag[ route_check ] --START--
[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | INFO: Run CheckRoute Behavior [ RunTime:0.001423s ]
[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001551s ]
[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | INFO: Tag[ app_begin ] --START--
[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001028s ]
[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001089s ]
[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | SQL: SHOW COLUMNS FROM `think_memo` [ RunTime:0.004301s ]
[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | SQL: SELECT COUNT(*) AS tp_count FROM `think_memo` LIMIT 1   [ RunTime:0.004835s ]
[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | SQL: SELECT * FROM `think_memo` LIMIT 0,6   [ RunTime:0.000201s ]
[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | INFO: Tag[ view_template ] --START--
[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001945s ]
[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002022s ]
[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | INFO: Tag[ view_parse ] --START--
[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | NOTIC: [8] Undefined index:  dashboard d9b8e9922ed5a841e061ac08a09c8294.php 第 35 行.
[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | NOTIC: [8] Undefined index:  new_memo d9b8e9922ed5a841e061ac08a09c8294.php 第 43 行.
[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | NOTIC: [8] Undefined index:  article d9b8e9922ed5a841e061ac08a09c8294.php 第 49 行.
[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | NOTIC: [8] Undefined index:  new_article d9b8e9922ed5a841e061ac08a09c8294.php 第 51 行.
[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | NOTIC: [8] Undefined index:  manage_article d9b8e9922ed5a841e061ac08a09c8294.php 第 52 行.
[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | NOTIC: [8] Undefined index:  manage_draft d9b8e9922ed5a841e061ac08a09c8294.php 第 53 行.
[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | INFO: Run ParseTemplate Behavior [ RunTime:0.018032s ]
[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018116s ]
[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | INFO: Tag[ view_filter ] --START--
[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | INFO: Run ContentReplace Behavior [ RunTime:0.000902s ]
[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | INFO: Run TokenBuild Behavior [ RunTime:0.000791s ]
[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000635s ]
[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001185s ]
[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003695s ]
[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | INFO: Tag[ view_end ] --START--
[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000795s ]
[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000850s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Tag[ route_check ] --START--
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Run CheckRoute Behavior [ RunTime:0.000921s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001029s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Tag[ app_begin ] --START--
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000579s ]
